Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01540","Yams","2022","2022","1000 Int$","1588","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","152","Gross Production Value (constant 2014-2016 thousand I$)","01540","Yams","2023","2023","1000 Int$","1467","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01540","Yams","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","56","Gross Production Value (current thousand SLC)","01540","Yams","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01540","Yams","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","55","Gross Production Value (constant 2014-2016 thousand SLC)","01540","Yams","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01540","Yams","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01540","Yams","2023","2023","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01540","Yams","2022","2022","","","",""
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01540","Yams","2023","2023","","","",""
